AT1G02450	15749762,16553894,16648215,16824183,17142483,17189325,17181774,17496105,17581762,18307823,18567827,18650403,19825560,20181750,20198573,20507508,20565658,21118350,23630533
AT1G02450.1	14617066
AT1G02460	12509334,16033780,16615871,16927204,17010199,18567827,20736450,23056537
AT1G02470	20736450
AT1G02475	20736450
AT1G02480	8980477
AT1G02500	10820326,1850833,2482229,2535470,11118604,11454228,16311726,16365035,18775970,20118269,20627899,21316254,21708264
AT1G02500.1	15971193,16242667,16287169,16502469,17317660,17432890,17916636
AT1G02500.2	15971193,16242667,16287169,16502469,17317660,17432890,17916636
AT1G02510	11500563,14675456,14730065,15505206,16607029,19825594,20736450,20712621,21697507
AT1G02510.1	9184204,15505206,16984403,17146665
AT1G02520	11346655,11855639,15308754,15381434,15618420,16618929,17164256,18299247,20736450,21239383
AT1G02520.1	11855639,14506206,16618929,17317660
AT1G02530	11346655,11855639,16510518,17227549,18299247,18334669,20736450
AT1G02530.1	11855639,18334669
AT1G02550	23791732
AT1G02550.1	
AT1G02560	10427773,11278690,12185496,14576160,14593120,15829605,15998247,16766689,16895613,16980539,17181860,18297659,19525416,23548781
AT1G02560.1	11299370,11278690,12766230,12938931,14593120,16648217,17932292,18297659,18431481,18633119,16207701
AT1G02570	20736450
AT1G02580	10962025,10722305,10580004,10521524,10508576,10097185,9874812,9545225,9108133,9663380,11118137,11114524,11250158,11148284,12150995,12150899,11931224,12524359,12815071,12805620,12932340,12970192,14667411,15020747,15151989,15128940,15469499,15619622,15653395,16120596,16469697,16469694,16527743,16651654,16648367,16824920,16878125,16924116,16949328,17181776,17965055,17964287,17949979,18303047,18723879,18976913,19121105,17637669,19126870,19783734,19779546,19825651,20179140,20333248,20406451,21240189,21282328,21307831,21518889,21617372,22519754,22855791,23064319,23146178,23506837
AT1G02580.1	11118137,18976913
AT1G02600	8980477
AT1G02610	20736450,24377444
AT1G02610.1	
AT1G02620	15236667,24587212
AT1G02630	20032078
AT1G02630.1	11749958
AT1G02640	12609041,15546358,15517348,16258012,16244138,16267099,16367961,16927204,17435085,17937930,19291320,20736450
AT1G02640.1	17526915
AT1G02650	20736450
AT1G02660	12810710,15720654,15890746,17217462,17408486,18070919,18684332,18775970,23505340
AT1G02670	15890746,16489130,17227549
AT1G02680	14576160,17340043,17526916,15527982,23506837,24023856
AT1G02690	12946625,17675552,18836040,20736450,23027878
AT1G02710.1	
AT1G02720	15010604,16540543,21300919,24092888
AT1G02720.1	
AT1G02720.2	
AT1G02730	14576160,15235117,15447652,17006591,17172353,17227549,17329565,17892446,18334669,18424613,19269997,20409003,21471331,21904114,22661983
AT1G02730.1	15447652,17892446,18334669
AT1G02740	12575993
AT1G02750	12888517,16786289,18218969,18650403
AT1G02760	8980477
AT1G02780	11782485,17934214,18650403,18775970,22195043
AT1G02780.1	15496452,15734919,17317660,17432890,17934214
AT1G02790	10721737,10485285,12805594,15694452,15860015,16247729,17010199,18775970,23056537,23252839
AT1G02790.1	16247729
AT1G02800	10074717,14576160,15170254,17409064,18069944
AT1G02800.1	17687051
AT1G02810	12468722,16622707,16920880,17337630
AT1G02810.1	16622707
AT1G02813	15681452,20736450
AT1G02816	18775970
AT1G02816.1	15539469,17151019
